id,Name,Price,Star Rating
35,"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,4
36,"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,5
37,Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,4
38,Brain on Fire: My Month of Madness,49.32,5
39,Abstract City,56.37,5
40,13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,1
41,The Lonely City: Adventures in the Art of Being Alone,33.26,2
42,The Diary of a Young Girl,59.9,3
43,Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,3
44,Furiously Happy: A Funny Book About Horrible Things,41.46,4
45,"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,4
46,"Mother, Can You Not?",16.89,5
47,A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,3
48,"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,2
49,Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,2
50,"Zero to One: Notes on Startups, or How to Build the Future",34.06,3
51,Why Not Me?,17.76,1
52,When Breath Becomes Air,39.36,2
53,"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,4
54,Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,5
55,Rising Strong,21.82,3
56,Man's Search for Meaning,29.48,3
57,"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,2
58,Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,3
59,I Will Find You,44.21,1
60,Brazen: The Courage to Find the You That's Been Hiding,19.22,2
61,Between the World and Me,56.91,4
62,Being Mortal: Medicine and What Matters in the End,55.06,4
63,"A Murder Over a Girl: Justice, Gender, Junior High",13.2,3
64,For the Love: Fighting for Grace in a World of Impossible Standards,45.13,3
65,Finding God in the Ruins: How God Redeems Pain,46.64,2
66,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,4
67,In Cold Blood,49.98,4
68,"Girl, Interrupted",42.14,3
69,Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,2
70,Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,4
71,My Mother Was Nuts,31.63,4
72,"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,3
73,The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,3
74,The Gunning of America: Business and the Making of American Gun Culture,16.81,4
75,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,2
76,God Is Not Great: How Religion Poisons Everything,27.8,1
77,We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,3
78,Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,3
79,"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,1
80,Under the Banner of Heaven: A Story of Violent Faith,30.0,1
81,"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,1
82,The Name of God is Mercy,37.25,2
83,Stiff: The Curious Lives of Human Cadavers,36.74,3
84,Spilled Milk: Based on a True Story,49.51,1
85,"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,4
86,Outliers: The Story of Success,14.16,1
87,Notes from a Small Island (Notes From a Small Island #1),40.17,1
88,Night (The Night Trilogy #1),13.51,1
89,"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",57.83,1
90,Letter to a Christian Nation,22.2,1
91,Let's Pretend This Never Happened: A Mostly True Memoir,45.11,1
92,It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,42.38,1
93,Into the Wild,56.7,5
94,"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",28.85,3
95,I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,28.88,2
96,Gratitude,26.66,5
97,Disrupted: My Misadventure in the Start-Up Bubble,15.28,5
98,Brave Enough,51.32,5
99,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",27.35,2
100,Blink: The Power of Thinking Without Thinking,21.74,5
101,Black Flags: The Rise of ISIS,40.87,1
102,Are We Smart Enough to Know How Smart Animals Are?,56.58,1
103,A Walk in the Woods: Rediscovering America on the Appalachian Trail,30.48,4
104,"The Suffragettes (Little Black Classics, #96)",11.89,2
105,Kindle Paperwhite User's Guide,34.0,3
106,H is for Hawk,57.42,5
107,Travels with Charley: In Search of America,57.82,5
108,The Tumor,41.56,5
109,The End of the Jesus Era (An Investigation #1),14.4,1
110,"Eat, Pray, Love",51.32,3
